CODIGO;DESCRICAO;CATEGORIA
C109;"Neoplasia maligna da orofaringe, n? especificada";Neoplasia maligna da orofaringe
C11;Neoplasia maligna da nasofaringe;Neoplasia maligna da nasofaringe
C110;Neoplasia maligna da parede superior da nasofaringe;Neoplasia maligna da nasofaringe
C111;Neoplasia maligna da parede posterior da nasofaringe;Neoplasia maligna da nasofaringe
C112;Neoplasia maligna da parede lateral da nasofaringe;Neoplasia maligna da nasofaringe
C113;Neoplasia maligna da parede anterior da nasofaringe;Neoplasia maligna da nasofaringe
C118;Neoplasia maligna da nasofaringe com les? invasiva;Neoplasia maligna da nasofaringe
C119;"Neoplasia maligna da nasofaringe, n? especificada";Neoplasia maligna da nasofaringe
C12;Neoplasia maligna do seio piriforme;Neoplasia maligna do seio piriforme
C13;Neoplasia maligna da hipofaringe;Neoplasia maligna da hipofaringe
C130;Neoplasia maligna da regi? p?-cric?dea;Neoplasia maligna da hipofaringe
C131;"Neoplasia maligna da prega ariepigl?ica, face hipofar?gea";Neoplasia maligna da hipofaringe
C132;Neoplasia maligna da parede posterior da hipofaringe;Neoplasia maligna da hipofaringe
C138;Neoplasia maligna da hipofaringe com les? invasiva;Neoplasia maligna da hipofaringe
C139;"Neoplasia maligna da hipofaringe, n? especificada";Neoplasia maligna da hipofaringe
C14;"Neoplasia maligna de outras localiza?es e de localiza?es mal definida, do l?io, cavidade oral e faringe";"Neoplasia maligna de outras localiza?es e de localiza?es mal definida, do l?io, cavidade oral e faringe"
C140;"Neoplasia maligna da faringe, n? especificada";"Neoplasia maligna de outras localiza?es e de localiza?es mal definida, do l?io, cavidade oral e faringe"
C142;Neoplasia maligna do anel de Waldeyer;"Neoplasia maligna de outras localiza?es e de localiza?es mal definida, do l?io, cavidade oral e faringe"
C148;"Neoplasia maligna do l?io, cavidade oral e faringe com les? invasiva";"Neoplasia maligna de outras localiza?es e de localiza?es mal definida, do l?io, cavidade oral e faringe"
C15;Neoplasia maligna do es?ago;Neoplasia maligna do es?ago
C150;Neoplasia maligna da por?o cervical do es?ago (es?ago cervical);Neoplasia maligna do es?ago
C151;Neoplasia maligna da por?o tor?ica do es?ago (es?ago tor?ico);Neoplasia maligna do es?ago
C152;Neoplasia maligna da por?o abdominal do es?ago (es?ago abdominal);Neoplasia maligna do es?ago
C153;Neoplasia maligna do ter? superior do es?ago;Neoplasia maligna do es?ago
C154;Neoplasia maligna do ter? m?io do es?ago;Neoplasia maligna do es?ago
C155;Neoplasia maligna do ter? inferior do es?ago;Neoplasia maligna do es?ago
C158;Neoplasia maligna do es?ago com les? invasiva;Neoplasia maligna do es?ago
C159;"Neoplasia maligna do es?ago, n? especificado";Neoplasia maligna do es?ago
C16;Neoplasia maligna do est?ago;Neoplasia maligna do est?ago
C160;Neoplasia maligna da c?dia;Neoplasia maligna do est?ago
C161;Neoplasia maligna do fundo do est?ago;Neoplasia maligna do est?ago
C162;Neoplasia maligna do corpo do est?ago;Neoplasia maligna do est?ago
C163;Neoplasia maligna do antro pil?ico;Neoplasia maligna do est?ago
C164;Neoplasia maligna do piloro;Neoplasia maligna do est?ago
C165;"Neoplasia maligna da pequena curvatura do est?ago, n? especificada";Neoplasia maligna do est?ago
C166;"Neoplasia maligna da grande curvatura do est?ago, n? especificada";Neoplasia maligna do est?ago
C168;Neoplasia maligna do est?ago com les? invasiva;Neoplasia maligna do est?ago
C169;"Neoplasia maligna do est?ago, n? especificado";Neoplasia maligna do est?ago
C17;Neoplasia maligna do intestino delgado;Neoplasia maligna do intestino delgado
C170;Neoplasia maligna do duodeno;Neoplasia maligna do intestino delgado
C171;Neoplasia maligna do jejuno;Neoplasia maligna do intestino delgado
C172;Neoplasia maligna do ?eo;Neoplasia maligna do intestino delgado
C173;Neoplasia maligna do divert?ulo de Meckel;Neoplasia maligna do intestino delgado
C178;Neoplasia maligna do intestino delgado com les? invasiva;Neoplasia maligna do intestino delgado
C179;"Neoplasia maligna do intestino delgado, n? especificado";Neoplasia maligna do intestino delgado
C18;Neoplasia maligna do c?on;Neoplasia maligna do c?on
C180;Neoplasia maligna do ceco;Neoplasia maligna do c?on
C181;Neoplasia maligna do ap?dice (vermiforme);Neoplasia maligna do c?on
C182;Neoplasia maligna do c?on ascendente;Neoplasia maligna do c?on
C183;Neoplasia maligna da flexura (?gulo) hep?ica(o);Neoplasia maligna do c?on
C184;Neoplasia maligna do c?on transverso;Neoplasia maligna do c?on
C185;Neoplasia maligna da flexura (?gulo) espl?ica(o);Neoplasia maligna do c?on
C186;Neoplasia maligna do c?on descendente;Neoplasia maligna do c?on
C187;Neoplasia maligna do c?on sigm?de;Neoplasia maligna do c?on
C188;Neoplasia maligna do c?on com les? invasiva;Neoplasia maligna do c?on
C189;"Neoplasia maligna do c?on, n? especificado";Neoplasia maligna do c?on
C19;Neoplasia maligna da jun?o retossigm?de;Neoplasia maligna da jun?o retossigm?de
C20;Neoplasia maligna do reto;Neoplasia maligna do reto
C21;Neoplasia maligna do ?us e do canal anal;Neoplasia maligna do reto
C210;"Neoplasia maligna do ?us, n? especificado";Neoplasia maligna do reto
C211;Neoplasia maligna do canal anal;Neoplasia maligna do reto
C212;Neoplasia maligna da zona cloacog?ica;Neoplasia maligna do reto
C218;"Neoplasia maligna do reto, ?us e do canal anal com les? invasiva";Neoplasia maligna do reto
C22;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C220;Carcinoma de c?ulas hep?icas;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C221;Carcinoma de vias biliares intra-hep?icas;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C222;Hepatoblastoma;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C223;Angiossarcoma do f?ado;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C224;Outros sarcomas do f?ado;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C227;Outros carcinomas especificados do f?ado;Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C229;"Neoplasia maligna do f?ado, n? especificada";Neoplasia maligna do f?ado e das vias biliares intra-hep?icas
C23;Neoplasia maligna da ves?ula biliar;Neoplasia maligna da ves?ula biliar
C24;"Neoplasia maligna de outras partes, e de partes n? especificadas das vias biliares";Neoplasia maligna da ves?ula biliar
C240;Neoplasia maligna das vias biliares extra-hep?icas;Neoplasia maligna da ves?ula biliar
C241;Neoplasia maligna da ampola de Vater;Neoplasia maligna da ves?ula biliar
C248;Neoplasia maligna das vias biliares com les? invasiva;Neoplasia maligna da ves?ula biliar
C249;"Neoplasia maligna da via biliar, n? especificada";Neoplasia maligna da ves?ula biliar
C25;Neoplasia maligna do p?creas;Neoplasia maligna do p?creas
C250;Neoplasia maligna da cabe? do p?creas;Neoplasia maligna do p?creas
C251;Neoplasia maligna do corpo do p?creas;Neoplasia maligna do p?creas
C252;Neoplasia maligna da cauda do p?creas;Neoplasia maligna do p?creas
C253;Neoplasia maligna do canal pancre?ico;Neoplasia maligna do p?creas
C254;Neoplasia maligna do p?creas end?rino;Neoplasia maligna do p?creas
C257;Neoplasia maligna de outras partes do p?creas;Neoplasia maligna do p?creas
C258;Neoplasia maligna do p?creas com les? invasiva;Neoplasia maligna do p?creas
C259;"Neoplasia maligna do p?creas, n? especificado";Neoplasia maligna do p?creas
C26;Neoplasia maligna de outros ?g?s digestivos e de localiza?es mal definidas no aparelho digestivo;Neoplasia maligna de outros ?g?s digestivos e de localiza?es mal definidas no aparelho digestivo
C260;"Neoplasia maligna do trato intestinal, parte n? especificada";Neoplasia maligna de outros ?g?s digestivos e de localiza?es mal definidas no aparelho digestivo
C261;Neoplasia maligna do ba?;Neoplasia maligna de outros ?g?s digestivos e de localiza?es mal definidas no aparelho digestivo
C268;Neoplasia maligna do aparelho digestivo com les? invasiva;Neoplasia maligna de outros ?g?s digestivos e de localiza?es mal definidas no aparelho digestivo
C269;Neoplasia maligna de localiza?es mal definidas dentro do aparelho digestivo;Neoplasia maligna de outros ?g?s digestivos e de localiza?es mal definidas no aparelho digestivo
C30;Neoplasia maligna da cavidade nasal e do ouvido m?io;Neoplasia maligna da cavidade nasal e do ouvido m?io
C300;Neoplasia maligna da cavidade nasal;Neoplasia maligna da cavidade nasal e do ouvido m?io
C301;Neoplasia maligna do ouvido m?io;Neoplasia maligna da cavidade nasal e do ouvido m?io
C31;Neoplasia maligna dos seios da face;Neoplasia maligna da cavidade nasal e do ouvido m?io
C310;Neoplasia maligna do seio maxilar;Neoplasia maligna da cavidade nasal e do ouvido m?io
C311;Neoplasia maligna do seio etmoidal;Neoplasia maligna da cavidade nasal e do ouvido m?io
C312;Neoplasia maligna do seio frontal;Neoplasia maligna da cavidade nasal e do ouvido m?io
C313;Neoplasia maligna do seio esfenoidal;Neoplasia maligna da cavidade nasal e do ouvido m?io
C318;Neoplasia maligna dos seios da face com les? invasiva;Neoplasia maligna da cavidade nasal e do ouvido m?io
C319;"Neoplasia maligna do seio da face, n? especificado";Neoplasia maligna da cavidade nasal e do ouvido m?io
C32;Neoplasia maligna da laringe;Neoplasia maligna da laringe
C320;Neoplasia maligna da glote;Neoplasia maligna da laringe
C321;Neoplasia maligna da regi? supragl?ica;Neoplasia maligna da laringe
C322;Neoplasia maligna da regi? subgl?ica;Neoplasia maligna da laringe
C323;Neoplasia maligna das cartilagens da laringe;Neoplasia maligna da laringe
C328;Neoplasia maligna da laringe com les? invasiva;Neoplasia maligna da laringe
C329;"Neoplasia maligna da laringe, n? especificada";Neoplasia maligna da laringe
C33;Neoplasia maligna da traqu?a;Neoplasia maligna da traqu?a
C34;Neoplasia maligna dos br?quios e dos pulm?s;Neoplasia maligna dos br?quios e dos pulm?s
C340;Neoplasia maligna do br?quio principal;Neoplasia maligna dos br?quios e dos pulm?s
C341;"Neoplasia maligna do lobo superior, br?quio ou pulm?";Neoplasia maligna dos br?quios e dos pulm?s
C342;"Neoplasia maligna do lobo m?io, br?quio ou pulm?";Neoplasia maligna dos br?quios e dos pulm?s
C343;"Neoplasia maligna do lobo inferior, br?quio ou pulm?";Neoplasia maligna dos br?quios e dos pulm?s
C348;Neoplasia maligna dos br?quios e dos pulm?s com les? invasiva;Neoplasia maligna dos br?quios e dos pulm?s
C349;"Neoplasia maligna dos br?quios ou pulm?s, n? especificado";Neoplasia maligna dos br?quios e dos pulm?s
C37;Neoplasia maligna do timo;Neoplasia maligna do timo
C38;"Neoplasia maligna do cora?o, mediastino e pleura";"Neoplasia maligna do cora?o, mediastino e pleura"
C380;Neoplasia maligna do cora?o;Neoplasia maligna do cora?o
C381;Neoplasia maligna do mediastino anterior;Neoplasia maligna do cora?o
C382;Neoplasia maligna do mediastino posterior;Neoplasia maligna do cora?o
C383;"Neoplasia maligna do mediastino, por?o n? especificada";Neoplasia maligna do cora?o
C384;Neoplasia maligna da pleura;Neoplasia maligna do cora?o
C388;"Neoplasia maligna do cora?o, mediastino e pleura com les? invasiva";Neoplasia maligna do cora?o
C39;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas do aparelho respirat?io e dos ?g?s intrator?icos;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas do aparelho respirat?io e dos ?g?s intrator?icos
C390;"Neoplasia maligna do trato respirat?io superior, por?o n? especificada";Neoplasia maligna de outras localiza?es e de localiza?es mal definidas do aparelho respirat?io e dos ?g?s intrator?icos
C398;Neoplasia maligna do aparelho respirat?io e dos ?g?s intrator?icos com les? invasiva;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas do aparelho respirat?io e dos ?g?s intrator?icos
C399;Neoplasia maligna de localiza?es mal definidas do aparelho respirat?io;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas do aparelho respirat?io e dos ?g?s intrator?icos
C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C400;Neoplasia maligna da omoplata [esc?ula] e ossos longos dos membros superiores;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C401;Neoplasia maligna dos ossos curtos dos membros superiores;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C402;Neoplasia maligna dos ossos longos dos membros inferiores;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C403;Neoplasia maligna dos ossos curtos dos membros inferiores;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C408;Neoplasia maligna dos ossos e cartilagens articulares dos membros com les? invasiva;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C409;Neoplasia maligna dos ossos e cartilagens articulares de membro n? especificado;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas;Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C410;Neoplasia maligna dos ossos do cr?io e da face;Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C411;Neoplasia maligna da mand?ula;Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C412;Neoplasia maligna da coluna vertebral;Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C413;"Neoplasia maligna das costelas, esterno e clav?ula";Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C414;"Neoplasia maligna dos ossos da pelve, sacro e c?cix";Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C418;Neoplasia maligna dos ossos e das cartilagens articulares com les? invasiva;Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C419;"Neoplasia maligna dos ossos e cartilagens articulares, n? especificados";Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza?es e de localiza?es n? especificadas
C43;Melanoma maligno da pele;Melanoma maligno da pele
C430;Melanoma maligno do l?io;Melanoma maligno da pele
C431;"Melanoma maligno da p?pebra, incluindo as comissuras palpebrais";Melanoma maligno da pele
C432;Melanoma maligno da orelha e do conduto auditivo externo;Melanoma maligno da pele
C433;Melanoma maligno de outras partes e partes n? especificadas da face;Melanoma maligno da pele
C434;Melanoma maligno do couro cabeludo e do pesco?;Melanoma maligno da pele
C435;Melanoma maligno do tronco;Melanoma maligno da pele
C436;"Melanoma maligno do membro superior, incluindo ombro";Melanoma maligno da pele
C437;"Melanoma maligno do membro inferior, incluindo quadril";Melanoma maligno da pele
C438;Melanoma maligno invasivo da pele;Melanoma maligno da pele
C439;"Melanoma maligno de pele, n? especificado";Melanoma maligno da pele
C44;Outras neoplasias malignas da pele;Outras neoplasias malignas da pele
C440;Neoplasia maligna da pele do l?io;Outras neoplasias malignas da pele
C441;"Neoplasia maligna da pele da p?pebra, incluindo o canto";Outras neoplasias malignas da pele
C442;Neoplasia maligna da pele da orelha e do conduto auditivo externo;Outras neoplasias malignas da pele
C443;Neoplasia maligna da pele de outras partes e de partes n? especificadas da face;Outras neoplasias malignas da pele
C444;Neoplasia maligna da pele do couro cabeludo e do pesco?;Outras neoplasias malignas da pele
C445;Neoplasia maligna da pele do tronco;Outras neoplasias malignas da pele
C446;"Neoplasia maligna da pele do membro superior, incluindo ombro";Outras neoplasias malignas da pele
C447;"Neoplasia maligna da pele do membro inferior, incluindo quadril";Outras neoplasias malignas da pele
C448;Neoplasia maligna da pele com les? invasiva;Outras neoplasias malignas da pele
C449;"Neoplasia maligna da pele, n? especificada";Outras neoplasias malignas da pele
C45;Mesotelioma;Mesotelioma
C450;Mesotelioma da pleura;Mesotelioma
C451;Mesotelioma do perit?io;Mesotelioma
C452;Mesotelioma do peric?dio;Mesotelioma
C457;Mesotelioma de outras localiza?es;Mesotelioma
C459;"Mesotelioma, n? especificado";Mesotelioma
C46;Sarcoma de Kaposi;Sarcoma de Kaposi
C460;Sarcoma de Kaposi da pele;Sarcoma de Kaposi
C461;Sarcoma de Kaposi de tecidos moles;Sarcoma de Kaposi
C462;Sarcoma de Kaposi do palato;Sarcoma de Kaposi
C463;Sarcoma de Kaposi dos g?glios linf?icos;Sarcoma de Kaposi
C467;Sarcoma de Kaposi de outras localiza?es;Sarcoma de Kaposi
C468;Sarcoma de Kaposi de m?tiplos ?g?s;Sarcoma de Kaposi
C469;"Sarcoma de Kaposi, n? especificado";Sarcoma de Kaposi
C47;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C470;"Neoplasia maligna dos nervos perif?icos da cabe?, face e pesco?";Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C471;"Neoplasia maligna dos nervos perif?icos dos membros superiores, incluindo ombro";Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C472;"Neoplasia maligna dos nervos perif?icos dos membros inferiores, incluindo quadril";Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C473;Neoplasia maligna dos nervos perif?icos do t?ax;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C474;Neoplasia maligna dos nervos perif?icos do abdome;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C475;Neoplasia maligna dos nervos perif?icos da pelve;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C476;Neoplasia maligna dos nervos perif?icos do tronco;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C478;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo com les? invasiva;Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C479;"Neoplasia maligna dos nervos perif?icos e sistema nervoso aut?omo, n? especificados";Neoplasia maligna dos nervos perif?icos e do sistema nervoso aut?omo
C48;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io
C480;Neoplasia maligna do retroperit?io;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io
C481;Neoplasia maligna de partes especificadas do perit?io;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io
C482;Neoplasia maligna do perit?io;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io
C488;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io com les? invasiva;Neoplasia maligna dos tecidos moles do retroperit?io e do perit?io
C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C490;"Neoplasia maligna do tecido conjuntivo e tecidos moles da cabe?, face e pesco?";Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C491;"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro";Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C492;"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril";Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C493;Neoplasia maligna do tecido conjuntivo e tecidos moles do t?ax;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C494;Neoplasia maligna do tecido conjuntivo e tecidos moles do abdome;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C495;Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C496;Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C498;Neoplasia maligna do tecido conjuntivo e dos tecidos moles com les? invasiva;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C499;"Neoplasia maligna do tecido conjuntivo e tecidos moles, n? especificados";Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C50;Neoplasia maligna da mama;Neoplasia maligna da mama
C500;Neoplasia maligna do mamilo e ar?la;Neoplasia maligna da mama
C501;Neoplasia maligna da por?o central da mama;Neoplasia maligna da mama
C502;Neoplasia maligna do quadrante superior interno da mama;Neoplasia maligna da mama
C503;Neoplasia maligna do quadrante inferior interno da mama;Neoplasia maligna da mama
C504;Neoplasia maligna do quadrante superior externo da mama;Neoplasia maligna da mama
C505;Neoplasia maligna do quadrante inferior externo da mama;Neoplasia maligna da mama
C506;Neoplasia maligna da por?o axilar da mama;Neoplasia maligna da mama
C508;Neoplasia maligna da mama com les? invasiva;Neoplasia maligna da mama
C509;"Neoplasia maligna da mama, n? especificada";Neoplasia maligna da mama
C51;Neoplasia maligna da vulva;Neoplasia maligna da vulva
C510;Neoplasia maligna dos grandes l?ios;Neoplasia maligna da vulva
C511;Neoplasia maligna dos pequenos l?ios;Neoplasia maligna da vulva
C512;Neoplasia maligna do clit?is;Neoplasia maligna da vulva
C518;Neoplasia maligna da vulva com les? invasiva;Neoplasia maligna da vulva
C519;"Neoplasia maligna da vulva, n? especificada";Neoplasia maligna da vulva
C52;Neoplasia maligna da vagina;Neoplasia maligna da vagina
C53;Neoplasia maligna do colo do utero;Neoplasia maligna do colo do utero
C530;Neoplasia maligna do endoc?vix;Neoplasia maligna do colo do utero
C531;Neoplasia maligna do exoc?vix;Neoplasia maligna do colo do utero
C538;Neoplasia maligna do colo do ?ero com les? invasiva;Neoplasia maligna do colo do utero
C539;"Neoplasia maligna do colo do ?ero, n? especificado";Neoplasia maligna do colo do utero
C54;Neoplasia maligna do corpo do ?ero;Neoplasia maligna do corpo do ?ero
C540;Neoplasia maligna do istmo do ?ero;Neoplasia maligna do corpo do ?ero
C541;Neoplasia maligna do endom?rio;Neoplasia maligna do corpo do ?ero
C542;Neoplasia maligna do miom?rio;Neoplasia maligna do corpo do ?ero
C543;Neoplasia maligna do fundo do ?ero;Neoplasia maligna do corpo do ?ero
C548;Neoplasia maligna do corpo do ?ero com les? invasiva;Neoplasia maligna do corpo do ?ero
C549;"Neoplasia maligna do corpo do ?ero, n? especificado";Neoplasia maligna do corpo do ?ero
C55;"Neoplasia maligna do ?ero, por?o n? especificada";"Neoplasia maligna do ?ero, por?o n? especificada"
C56;Neoplasia maligna do ov?io;Neoplasia maligna do ov?io
C57;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C570;Neoplasia maligna da trompa de Fal?io;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C571;Neoplasia maligna do ligamento largo;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C572;Neoplasia maligna do ligamento redondo;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C573;Neoplasia maligna do param?rio;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C574;Neoplasia maligna dos anexos uterinos;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C577;Neoplasia maligna de outras partes especificadas dos ?g?s genitais femininos;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
